"INDIKATOR_GRUPPE","INDIKATOR_BEZEICHNUNG","INDIKATOR_AUSPRAEGUNG","INDIKATOR_WERT","BASISWERT_1","BASISWERT_2","BASISWERT_3","BASISWERT_4","BASISWERT_5","NAME_BASISWERT_1","NAME_BASISWERT_2","NAME_BASISWERT_3","NAME_BASISWERT_4","NAME_BASISWERT_5","JAHR","GLIEDERUNG","NUMMER","NAME"
"Bevölkerung","Einpersonenhaushalte","Haushalte 30 bis 44 Jahre","33,7","135549","401957","","","","Einpersonen- Haushalte 30 bis 44 Jahre","Alle Einpersonenhaushalte 18 Jahre und älter","","","","2000","Gesamtstadt","#100","Stadt München"
"Bevölkerung","Einpersonenhaushalte","Haushalte 30 bis 44 Jahre","36,6","8441","23088","","","","Einpersonen- Haushalte 30 bis 44 Jahre","Alle Einpersonenhaushalte 18 Jahre und älter","","","","2000","Stadtbezirk","3","03 Maxvorstadt"
"Bevölkerung","Einpersonenhaushalte","Haushalte 30 bis 44 Jahre","30,9","4981","16113","","","","Einpersonen- Haushalte 30 bis 44 Jahre","Alle Einpersonenhaushalte 18 Jahre und älter","","","","2000","Stadtbezirk","21","21 Pasing - Obermenzing"
"Bevölkerung","Einpersonenhaushalte","Haushalte 30 bis 44 Jahre","30,8","3730","12099","","","","Einpersonen- Haushalte 30 bis 44 Jahre","Alle Einpersonenhaushalte 18 Jahre und älter","","","","2000","Stadtbezirk","10","10 Moosach"
"Bevölkerung","Einpersonenhaushalte","Haushalte 30 bis 44 Jahre","30,8","4857","15764","","","","Einpersonen- Haushalte 30 bis 44 Jahre","Alle Einpersonenhaushalte 18 Jahre und älter","","","","2000","Stadtbezirk","7","07 Sendling - Westpark"
"Bevölkerung","Einpersonenhaushalte","Haushalte 30 bis 44 Jahre","35,4","10745","30341","","","","Einpersonen- Haushalte 30 bis 44 Jahre","Alle Einpersonenhaushalte 18 Jahre und älter","","","","2000","Stadtbezirk","9","09 Neuhausen - Nymphenburg"
"Bevölkerung","Einpersonenhaushalte","Haushalte 30 bis 44 Jahre","33,8","4934","14585","","","","Einpersonen- Haushalte 30 bis 44 Jahre","Alle Einpersonenhaushalte 18 Jahre und älter","","","","2000","Stadtbezirk","17","17 Obergiesing - Fasangarten"
"Bevölkerung","Einpersonenhaushalte","Haushalte 30 bis 44 Jahre","33,4","7341","21951","","","","Einpersonen- Haushalte 30 bis 44 Jahre","Alle Einpersonenhaushalte 18 Jahre und älter","","","","2000","Stadtbezirk","13","13 Bogenhausen"
"Bevölkerung","Einpersonenhaushalte","Haushalte 30 bis 44 Jahre","30,7","5032","16379","","","","Einpersonen- Haushalte 30 bis 44 Jahre","Alle Einpersonenhaushalte 18 Jahre und älter","","","","2001","Stadtbezirk","21","21 Pasing - Obermenzing"
"Bevölkerung","Einpersonenhaushalte","Haushalte 30 bis 44 Jahre","34,4","5154","14980","","","","Einpersonen- Haushalte 30 bis 44 Jahre","Alle Einpersonenhaushalte 18 Jahre und älter","","","","2001","Stadtbezirk","17","17 Obergiesing - Fasangarten"
"Bevölkerung","Einpersonenhaushalte","Haushalte 30 bis 44 Jahre","36,1","3287","9103","","","","Einpersonen- Haushalte 30 bis 44 Jahre","Alle Einpersonenhaushalte 18 Jahre und älter","","","","2001","Stadtbezirk","1","01 Altstadt - Lehel"
"Bevölkerung","Einpersonenhaushalte","Haushalte 30 bis 44 Jahre","28","1888","6742","","","","Einpersonen- Haushalte 30 bis 44 Jahre","Alle Einpersonenhaushalte 18 Jahre und älter","","","","2001","Stadtbezirk","22","22 Aubing - Lochhausen - Langwied"
"Bevölkerung","Einpersonenhaushalte","Haushalte 30 bis 44 Jahre","31,3","1609","5146","","","","Einpersonen- Haushalte 30 bis 44 Jahre","Alle Einpersonenhaushalte 18 Jahre und älter","","","","2001","Stadtbezirk","23","23 Allach - Untermenzing"
"Bevölkerung","Einpersonenhaushalte","Haushalte 30 bis 44 Jahre","27,6","8","29","","","","Einpersonen- Haushalte 30 bis 44 Jahre","Alle Einpersonenhaushalte 18 Jahre und älter","","","","2001","Stadtbezirk","99","99 nicht zuzuordnen"
"Bevölkerung","Einpersonenhaushalte","Haushalte 30 bis 44 Jahre","29,3","2760","9406","","","","Einpersonen- Haushalte 30 bis 44 Jahre","Alle Einpersonenhaushalte 18 Jahre und älter","","","","2001","Stadtbezirk","20","20 Hadern"
"Bevölkerung","Einpersonenhaushalte","Haushalte 30 bis 44 Jahre","31,2","7217","23160","","","","Einpersonen- Haushalte 30 bis 44 Jahre","Alle Einpersonenhaushalte 18 Jahre und älter","","","","2001","Stadtbezirk","19","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln"
"Bevölkerung","Einpersonenhaushalte","Haushalte 30 bis 44 Jahre","39,1","8489","21738","","","","Einpersonen- Haushalte 30 bis 44 Jahre","Alle Einpersonenhaushalte 18 Jahre und älter","","","","2001","Stadtbezirk","5","05 Au - Haidhausen"
"Bevölkerung","Einpersonenhaushalte","Haushalte 30 bis 44 Jahre","33,3","7519","22553","","","","Einpersonen- Haushalte 30 bis 44 Jahre","Alle Einpersonenhaushalte 18 Jahre und älter","","","","2001","Stadtbezirk","13","13 Bogenhausen"
"Bevölkerung","Einpersonenhaushalte","Haushalte 30 bis 44 Jahre","31","3892","12536","","","","Einpersonen- Haushalte 30 bis 44 Jahre","Alle Einpersonenhaushalte 18 Jahre und älter","","","","2001","Stadtbezirk","10","10 Moosach"
