"INDIKATOR_GRUPPE","INDIKATOR_BEZEICHNUNG","INDIKATOR_AUSPRAEGUNG","INDIKATOR_WERT","BASISWERT_1","BASISWERT_2","BASISWERT_3","BASISWERT_4","BASISWERT_5","NAME_BASISWERT_1","NAME_BASISWERT_2","NAME_BASISWERT_3","NAME_BASISWERT_4","NAME_BASISWERT_5","JAHR","GLIEDERUNG","NUMMER","NAME"
"Verkehr","Personenwagendichte","privat","446,3","12218","27374","","","","privat zugelassene Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2004","Stadtbezirk","23","23 Allach - Untermenzing"
"Verkehr","Personenwagendichte","privat","416,7","10","24","","","","privat zugelassene Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2004","Stadtbezirk","99","99 nicht zuzuordnen"
"Verkehr","Personenwagendichte","gesamt","387,4","16839","43469","","","","alle zugelassenen Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2004","Stadtbezirk","2","02 Ludwigsvorstadt - Isarvorstadt"
"Verkehr","Personenwagendichte","gesamt","366,2","20228","55231","","","","alle zugelassenen Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2004","Stadtbezirk","4","04 Schwabing West"
"Verkehr","Personenwagendichte","gesamt","441,8","21500","48669","","","","alle zugelassenen Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2004","Stadtbezirk","7","07 Sendling - Westpark"
"Verkehr","Personenwagendichte","privat","376,6","17646","46856","","","","privat zugelassene Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2004","Stadtbezirk","10","10 Moosach"
"Verkehr","Personenwagendichte","gesamt","732,6","46208","63076","","","","alle zugelassenen Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2004","Stadtbezirk","11","11 Milbertshofen -  Am Hart"
"Verkehr","Personenwagendichte","privat","423,4","33047","78057","","","","privat zugelassene Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2004","Stadtbezirk","19","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln"
"Verkehr","Personenwagendichte","gesamt","493,3","38507","78057","","","","alle zugelassenen Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2004","Stadtbezirk","19","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln"
"Verkehr","Personenwagendichte","gesamt","513","14043","27374","","","","alle zugelassenen Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2004","Stadtbezirk","23","23 Allach - Untermenzing"
"Verkehr","Personenwagendichte","privat","355,6","17370","48841","","","","privat zugelassene Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2004","Stadtbezirk","25","25 Laim"
"Verkehr","Personenwagendichte","gesamt","395,6","32404","81921","","","","alle zugelassenen Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2004","Stadtbezirk","9","09 Neuhausen - Nymphenburg"
"Verkehr","Personenwagendichte","privat","307,8","19416","63076","","","","privat zugelassene Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2004","Stadtbezirk","11","11 Milbertshofen -  Am Hart"
"Verkehr","Personenwagendichte","privat","450,7","22045","48914","","","","privat zugelassene Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2004","Stadtbezirk","15","15 Trudering - Riem"
"Verkehr","Personenwagendichte","privat","378,9","17606","46462","","","","privat zugelassene Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2004","Stadtbezirk","18","18 Untergiesing - Harlaching"
"Verkehr","Personenwagendichte","gesamt","416,7","10","24","","","","alle zugelassenen Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2004","Stadtbezirk","99","99 nicht zuzuordnen"
"Verkehr","Personenwagendichte","privat","366,1","17816","48669","","","","privat zugelassene Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2004","Stadtbezirk","7","07 Sendling - Westpark"
"Verkehr","Personenwagendichte","gesamt","413,5","41694","100844","","","","alle zugelassenen Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2004","Stadtbezirk","16","16 Ramersdorf - Perlach"
"Verkehr","Personenwagendichte","gesamt","339,3","15088","44473","","","","alle zugelassenen Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2004","Stadtbezirk","17","17 Obergiesing - Fasangarten"
"Verkehr","Personenwagendichte","gesamt","389,1","20605","52958","","","","alle zugelassenen Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2004","Stadtbezirk","24","24 Feldmoching - Hasenbergl"
"Verkehr","Personenwagendichte","gesamt","887,5","16161","18210","","","","alle zugelassenen Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2004","Stadtbezirk","1","01 Altstadt - Lehel"
"Verkehr","Personenwagendichte","privat","315,5","13117","41581","","","","privat zugelassene Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2004","Stadtbezirk","3","03 Maxvorstadt"
"Verkehr","Personenwagendichte","gesamt","378,3","13501","35691","","","","alle zugelassenen Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2004","Stadtbezirk","6","06 Sendling"
"Verkehr","Personenwagendichte","privat","347,5","28464","81921","","","","privat zugelassene Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2004","Stadtbezirk","9","09 Neuhausen - Nymphenburg"
"Verkehr","Personenwagendichte","privat","436,2","31836","72982","","","","privat zugelassene Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2004","Stadtbezirk","13","13 Bogenhausen"
"Verkehr","Personenwagendichte","privat","351,2","13389","38127","","","","privat zugelassene Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2004","Stadtbezirk","14","14 Berg am Laim"
"Verkehr","Personenwagendichte","gesamt","400,4","18603","46462","","","","alle zugelassenen Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2004","Stadtbezirk","18","18 Untergiesing - Harlaching"
"Verkehr","Personenwagendichte","gesamt","403,9","17527","43396","","","","alle zugelassenen Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2004","Stadtbezirk","20","20 Hadern"
"Verkehr","Personenwagendichte","privat","403","25016","62081","","","","privat zugelassene Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2004","Stadtbezirk","21","21 Pasing - Obermenzing"
"Verkehr","Personenwagendichte","gesamt","365,9","34493","94257","","","","alle zugelassenen Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2012","Stadtbezirk","9","09 Neuhausen - Nymphenburg"
"Verkehr","Personenwagendichte","privat","354,9","17833","50253","","","","privat zugelassene Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2012","Stadtbezirk","10","10 Moosach"
"Verkehr","Personenwagendichte","gesamt","476,3","23933","50253","","","","alle zugelassenen Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2012","Stadtbezirk","10","10 Moosach"
"Verkehr","Personenwagendichte","privat","347,4","37229","107164","","","","privat zugelassene Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2012","Stadtbezirk","16","16 Ramersdorf - Perlach"
"Verkehr","Personenwagendichte","gesamt","381,7","19536","51180","","","","alle zugelassenen Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2012","Stadtbezirk","18","18 Untergiesing - Harlaching"
"Verkehr","Personenwagendichte","privat","262,4","13028","49657","","","","privat zugelassene Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2012","Stadtbezirk","2","02 Ludwigsvorstadt - Isarvorstadt"
"Verkehr","Personenwagendichte","privat","275,4","16217","58881","","","","privat zugelassene Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2012","Stadtbezirk","5","05 Au - Haidhausen"
"Verkehr","Personenwagendichte","gesamt","430,6","23489","54552","","","","alle zugelassenen Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2012","Stadtbezirk","7","07 Sendling - Westpark"
"Verkehr","Personenwagendichte","privat","251","7379","29402","","","","privat zugelassene Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2012","Stadtbezirk","8","08 Schwanthalerhöhe"
"Verkehr","Personenwagendichte","gesamt","357,9","10523","29402","","","","alle zugelassenen Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2012","Stadtbezirk","8","08 Schwanthalerhöhe"
"Verkehr","Personenwagendichte","privat","279,5","20263","72506","","","","privat zugelassene Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2012","Stadtbezirk","11","11 Milbertshofen -  Am Hart"
"Verkehr","Personenwagendichte","privat","326","13793","42313","","","","privat zugelassene Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2012","Stadtbezirk","14","14 Berg am Laim"
"Verkehr","Personenwagendichte","privat","391,8","27148","69295","","","","privat zugelassene Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2012","Stadtbezirk","21","21 Pasing - Obermenzing"
"Verkehr","Personenwagendichte","privat","359,3","20929","58245","","","","privat zugelassene Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2012","Stadtbezirk","24","24 Feldmoching - Hasenbergl"
"Verkehr","Personenwagendichte","gesamt","386","20595","53359","","","","alle zugelassenen Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2012","Stadtbezirk","25","25 Laim"
"Verkehr","Personenwagendichte","gesamt","2341,9","46950","20048","","","","alle zugelassenen Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2012","Stadtbezirk","1","01 Altstadt - Lehel"
"Verkehr","Personenwagendichte","gesamt","311,5","18341","58881","","","","alle zugelassenen Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2012","Stadtbezirk","5","05 Au - Haidhausen"
"Verkehr","Personenwagendichte","gesamt","377,3","15964","42313","","","","alle zugelassenen Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2012","Stadtbezirk","14","14 Berg am Laim"
"Verkehr","Personenwagendichte","privat","398,3","34757","87271","","","","privat zugelassene Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2012","Stadtbezirk","19","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln"
"Verkehr","Personenwagendichte","gesamt","387,3","22561","58245","","","","alle zugelassenen Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2012","Stadtbezirk","24","24 Feldmoching - Hasenbergl"
"Verkehr","Personenwagendichte","privat","329,3","17569","53359","","","","privat zugelassene Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2012","Stadtbezirk","25","25 Laim"
"Verkehr","Personenwagendichte","privat","342,3","492752","1439474","","","","privat zugelassene Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2012","Gesamtstadt","#100","Stadt München"
"Verkehr","Personenwagendichte","gesamt","452,8","651743","1439474","","","","alle zugelassenen Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2012","Gesamtstadt","#100","Stadt München"
"Verkehr","Personenwagendichte","gesamt","343,4","17050","49657","","","","alle zugelassenen Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2012","Stadtbezirk","2","02 Ludwigsvorstadt - Isarvorstadt"
"Verkehr","Personenwagendichte","gesamt","340,1","13458","39567","","","","alle zugelassenen Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2012","Stadtbezirk","6","06 Sendling"
"Verkehr","Personenwagendichte","privat","336,4","23052","68530","","","","privat zugelassene Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2012","Stadtbezirk","12","12 Schwabing -  Freimann"
"Verkehr","Personenwagendichte","privat","353,9","18112","51180","","","","privat zugelassene Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2012","Stadtbezirk","18","18 Untergiesing - Harlaching"
"Verkehr","Personenwagendichte","gesamt","524,4","15937","30393","","","","alle zugelassenen Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2012","Stadtbezirk","23","23 Allach - Untermenzing"
"Verkehr","Personenwagendichte","gesamt","384,4","41198","107164","","","","alle zugelassenen Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2012","Stadtbezirk","16","16 Ramersdorf - Perlach"
"Verkehr","Personenwagendichte","gesamt","474,5","41406","87271","","","","alle zugelassenen Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2012","Stadtbezirk","19","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln"
"Verkehr","Personenwagendichte","gesamt","386,3","18525","47949","","","","alle zugelassenen Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2012","Stadtbezirk","20","20 Hadern"
"Verkehr","Personenwagendichte","gesamt","427,5","29625","69295","","","","alle zugelassenen Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2012","Stadtbezirk","21","21 Pasing - Obermenzing"
"Verkehr","Personenwagendichte","privat","364,8","7313","20048","","","","privat zugelassene Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2012","Stadtbezirk","1","01 Altstadt - Lehel"
"Verkehr","Personenwagendichte","gesamt","476,6","24247","50877","","","","alle zugelassenen Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2012","Stadtbezirk","3","03 Maxvorstadt"
"Verkehr","Personenwagendichte","privat","306,9","19880","64770","","","","privat zugelassene Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2012","Stadtbezirk","4","04 Schwabing West"
"Verkehr","Personenwagendichte","privat","306,1","12110","39567","","","","privat zugelassene Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2012","Stadtbezirk","6","06 Sendling"
"Verkehr","Personenwagendichte","privat","337","18385","54552","","","","privat zugelassene Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2012","Stadtbezirk","7","07 Sendling - Westpark"
"Verkehr","Personenwagendichte","gesamt","650,6","47171","72506","","","","alle zugelassenen Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2012","Stadtbezirk","11","11 Milbertshofen -  Am Hart"
"Verkehr","Personenwagendichte","privat","415,2","33552","80816","","","","privat zugelassene Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2012","Stadtbezirk","13","13 Bogenhausen"
"Verkehr","Personenwagendichte","privat","288,6","14771","51183","","","","privat zugelassene Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2012","Stadtbezirk","17","17 Obergiesing - Fasangarten"
"Verkehr","Personenwagendichte","privat","47,6","1","21","","","","privat zugelassene Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2012","Stadtbezirk","99","99 nicht zuzuordnen"
"Verkehr","Personenwagendichte","privat","363,9","17622","48421","","","","privat zugelassene Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2010","Stadtbezirk","10","10 Moosach"
"Verkehr","Personenwagendichte","gesamt","308,9","15146","49030","","","","alle zugelassenen Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2010","Stadtbezirk","17","17 Obergiesing - Fasangarten"
"Verkehr","Personenwagendichte","privat","402,3","15636","38863","","","","privat zugelassene Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2010","Stadtbezirk","22","22 Aubing - Lochhausen - Langwied"
"Verkehr","Personenwagendichte","privat","272,2","12891","47357","","","","privat zugelassene Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2010","Stadtbezirk","2","02 Ludwigsvorstadt - Isarvorstadt"
"Verkehr","Personenwagendichte","privat","350,1","36669","104737","","","","privat zugelassene Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2010","Stadtbezirk","16","16 Ramersdorf - Perlach"
"Verkehr","Personenwagendichte","privat","337,5","17484","51805","","","","privat zugelassene Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2010","Stadtbezirk","25","25 Laim"
