"INDIKATOR_GRUPPE","INDIKATOR_BEZEICHNUNG","INDIKATOR_AUSPRAEGUNG","INDIKATOR_WERT","BASISWERT_1","BASISWERT_2","BASISWERT_3","BASISWERT_4","BASISWERT_5","NAME_BASISWERT_1","NAME_BASISWERT_2","NAME_BASISWERT_3","NAME_BASISWERT_4","NAME_BASISWERT_5","JAHR","GLIEDERUNG","NUMMER","NAME"
"Bevölkerung","Ausländer/innenanteil","gesamt","21,8","11209","51329","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2008","Stadtbezirk","25","25 Laim"
"Bevölkerung","Ausländer/innenanteil","gesamt","35,3","9819","27778","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2008","Stadtbezirk","8","08 Schwanthalerhöhe"
"Bevölkerung","Ausländer/innenanteil","gesamt","19,8","9765","49391","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2008","Stadtbezirk","18","18 Untergiesing - Harlaching"
"Bevölkerung","Ausländer/innenanteil","gesamt","18,8","7213","38327","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2008","Stadtbezirk","22","22 Aubing - Lochhausen - Langwied"
"Bevölkerung","Ausländer/innenanteil","gesamt","23,1","315924","1367314","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2008","Gesamtstadt","#100","Stadt München"
"Bevölkerung","Ausländer/innenanteil","gesamt","23,1","11304","48884","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2008","Stadtbezirk","3","03 Maxvorstadt"
"Bevölkerung","Ausländer/innenanteil","gesamt","18,3","14097","77112","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2008","Stadtbezirk","13","13 Bogenhausen"
"Bevölkerung","Ausländer/innenanteil","gesamt","16,9","11025","65290","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2008","Stadtbezirk","21","21 Pasing - Obermenzing"
"Bevölkerung","Ausländer/innenanteil","gesamt","26,6","14780","55667","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2008","Stadtbezirk","24","24 Feldmoching - Hasenbergl"
"Bevölkerung","Ausländer/innenanteil","gesamt","100","12","12","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2008","Stadtbezirk","99","99 nicht zuzuordnen"
"Bevölkerung","Ausländer/innenanteil","gesamt","22,5","4386","19505","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2008","Stadtbezirk","1","01 Altstadt - Lehel"
"Bevölkerung","Ausländer/innenanteil","gesamt","27,4","13042","47599","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2008","Stadtbezirk","2","02 Ludwigsvorstadt - Isarvorstadt"
"Bevölkerung","Ausländer/innenanteil","gesamt","21,9","12247","55853","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2008","Stadtbezirk","5","05 Au - Haidhausen"
"Bevölkerung","Ausländer/innenanteil","gesamt","23","12011","52257","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2008","Stadtbezirk","7","07 Sendling - Westpark"
"Bevölkerung","Ausländer/innenanteil","gesamt","27,7","13394","48282","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2008","Stadtbezirk","17","17 Obergiesing - Fasangarten"
"Bevölkerung","Ausländer/innenanteil","gesamt","25,4","9730","38335","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2008","Stadtbezirk","6","06 Sendling"
"Bevölkerung","Ausländer/innenanteil","gesamt","22,7","14581","64350","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2008","Stadtbezirk","12","12 Schwabing -  Freimann"
"Bevölkerung","Ausländer/innenanteil","gesamt","26,8","10746","40038","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2008","Stadtbezirk","14","14 Berg am Laim"
